Season,fullName,Team,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,UBR,wGDP,XBR,wSB,wRC,wRAA,wOBA,wRC+,NameASCII,PlayerId,MLBAMID,Events,EV,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH,IFH%,BUH,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,nameLast,nameFirst,Pos'n,Age,Qual    Offer,Old    Club,New Club,Years,Guarantee,Term,Option,AAV,Player Agent,Club Owner,Baseball Ops      head / club GM,Details,Age 7/1/21,Age 7/1/22,Age 7/1/23,Age 7/1/24
2017,Justin Bour,MIA,429,0.109557109,0.221445221,0.494736842,0.289124668,0.365967365,0.535809018,0.901776383,0.24668435,1.6177907903605415,0.32183908,-4.699999630451202,0.30000001192092896,-4.036387920379639,-0.07104230346158147,71.63976114481153,19.35730264573755,0.374357090035886,134.38871001463076,Justin Bour,9744,571506,286,89.24501402948944,114.82,9.5304960868728,25,0.08741259,116,0.40559441,1.291666666,0.23076923,0.433566433,0.335664335,0.114583333,0.260416666,5,0.04032258,0,0,0.47202797,0.34265734,0.18531469,0.1958042,0.41608392,0.38811189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,Justin Bour,MIA,446,0.076233183,0.226457399,0.336633663,0.261613691,0.320627802,0.479217603,0.799845405,0.217603912,0.5242130712499999,0.293706293,-4.700000047683716,-2.299999952316284,NA,-0.19019457651302216,60.5872173680187,10.4390250070215,0.3425018055444377,119.46335252514687,Justin Bour,9744,571506,309,90.8238166360294,114.967,9.001545426113154,25,0.08090615,133,0.43042071,1.392523364,0.171521035,0.482200647,0.346278317,0.102803738,0.214953271,5,0.033557046,0,0,0.44012945,0.36245955,0.197411,0.19093851,0.47249191,0.33656958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,Justin Smoak,TOR,500,0.158,0.212,0.745283018,0.207729468,0.342,0.405797101,0.747797101,0.198067633,0.91645853375,0.222996515,-2.8999998569488525,-1.2999999523162842,-4.110324859619141,-0.28323653154075146,64.34068756193477,1.4318742045815571,0.32324999606825217,101.57779838635231,Justin Smoak,9054,475253,309,90.31136490462664,110.8,16.665584415584416,34,0.11003236,123,0.39805825,0.856060606,0.207119741,0.365695792,0.427184466,0.068181818,0.166666666,4,0.03539823,0,0,0.4789644,0.34951456,0.17152104,0.14239482,0.43365696,0.42394822,Smoak,Justin,1b,33.209,NA,TOR,MIL,1,5000000,2020,club,5000000,Bledsoe Agency,Mark Attanasio,David Stearns,NA,NA,NA,NA,NA
2018,Justin Smoak,TOR,594,0.139730639,0.262626262,0.532051282,0.241584158,0.35016835,0.457425742,0.807594092,0.215841584,1.128906861415835,0.296636085,-6.600000001490116,0.10000000149011612,-5.773565769195557,-0.7665425583254546,86.01810967494576,16.62041326929658,0.34898803322701843,120.4039297338056,Justin Smoak,9054,475253,352,89.51448985042735,110.656,15.026899984419517,38,0.10795455,147,0.41761364,0.926666666,0.178977272,0.394886363,0.426136363,0.073333333,0.166666666,7,0.050359712,0,0,0.49147727,0.29545455,0.21306818,0.14488636,0.51704545,0.33806818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5000000,NA,NA,NA,NA,NA,NA,NA,NA
2017,Justin Smoak,TOR,637,0.114599686,0.200941915,0.5703125,0.269642857,0.354788069,0.528571428,0.883359497,0.258928571,1.740244197644618,0.285353535,-2.199999950826168,-0.10000000149011612,-2.4890005588531494,-0.8156598475761712,104.5907592992154,26.959230012711597,0.3710394076744465,133.3415950858985,Justin Smoak,9054,475253,434,89.71102855477855,109.98,17.190183839597903,52,0.11981567,186,0.42857143,0.772020725,0.211981566,0.343317972,0.44470046,0.07253886,0.196891191,3,0.020134228,0,0,0.4078341,0.35253456,0.23963134,0.13133641,0.47465438,0.39400922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5000000,NA,NA,NA,NA,NA,NA,NA,NA
2024,Justin Turner,- - -,539,0.109461966,0.176252319,0.621052631,0.258695652,0.354359925,0.382608695,0.73696862,0.123913043,1.5937731634966572,0.299168975,0.09999999403953552,-0.4000000059604645,-2.4742462635040283,-2.0254458636045456,70.16775145710807,7.116570848537485,0.32655321508368523,116.63779364930164,Justin Turner,5235,457759,372,87.14886015204974,106.753,17.80160358387937,17,0.04569892,121,0.32526882,0.775641025,0.255376344,0.325268817,0.419354838,0.089743589,0.07051282,7,0.057851239,0,0,0.40860215,0.34408602,0.24731183,0.14516129,0.56182796,0.29301075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,Justin Turner,BOS,626,0.081469648,0.175718849,0.463636363,0.275985663,0.345047923,0.455197132,0.800245055,0.179211469,3.0859382282864907,0.303944315,-2.7999999076128006,0.20000000298023224,-4.332330226898193,-0.8703080592676997,90.4586632950704,14.184206659952867,0.34565746612823045,114.57778473496607,Justin Turner,5235,457759,454,89.453202436674,108.227,16.45367458528359,26,0.05726872,177,0.38986784,0.861702127,0.229074889,0.356828193,0.414096916,0.074468085,0.122340425,12,0.074074074,0,0,0.40969163,0.32599119,0.26431718,0.12555066,0.56828194,0.3061674,Turner,Justin,dh-3b,NA,NA,BOS,TOR,1,13000000,2024,NA,13000000,Vayner Spts,Edward Rogers,MShapiro/RAtkins,NA,NA,NA,NA,39
2022,Justin Turner,LAD,532,0.093984962,0.167293233,0.561797752,0.277777777,0.34962406,0.438034188,0.787658248,0.160256411,2.785730919900841,0.312834224,-2.7999998927116394,-0.30000001192092896,-4.189817905426025,0.03708510473370552,74.78961876586007,13.957306271343702,0.3427699371021795,123.32672212051072,Justin Turner,5235,457759,387,89.45096947862694,108.86,18.417705634715027,31,0.08010336,157,0.40568475,0.738095238,0.245478036,0.320413436,0.434108527,0.059523809,0.077380952,5,0.04032258,0,0,0.35917313,0.34883721,0.29198966,0.12661499,0.55297158,0.32041344,Turner,Justin,dh-3b,NA,NA,LAN,BOS,2,21700000,2023-24,player,10850000,Vayner Spts,John Henry,CBloom/BO'Halloran,NA,NA,NA,38.22,NA
2021,Justin Turner,LAD,612,0.099673202,0.160130718,0.622448979,0.277673545,0.361111111,0.470919324,0.832030435,0.193245779,2.9126432344958424,0.292270531,-1.600000023841858,0.6000000238418579,-2.794497489929199,0.01132634747773408,96.38200865535325,22.295865608735735,0.3584584999902576,126.21444508400096,Justin Turner,5235,457759,441,90.93569779829544,109.783,19.180359996448864,35,0.07936508,186,0.42176871,0.797927461,0.213151927,0.349206349,0.437641723,0.10880829,0.139896373,6,0.038961038,0,0,0.3446712,0.35827664,0.29705215,0.11337868,0.48072562,0.40589569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10850000,NA,NA,NA,NA,NA,NA,NA,NA
2019,Justin Turner,LAD,549,0.092896174,0.160291438,0.579545454,0.290187891,0.371584699,0.509394572,0.880979271,0.219206681,2.6583332558918205,0.303523035,-1.9000000357627869,0.699999988079071,-3.5142948627471924,0.06883113831281662,92.75962575380528,23.685748687431456,0.3698478160548384,131.08811299582322,Justin Turner,5235,457759,396,90.33307291666668,107.7,17.807692307692307,29,0.07323232,168,0.42424242,0.836477987,0.258883248,0.337563451,0.403553299,0.050314465,0.16981132,10,0.075187969,0,0,0.38227848,0.36962025,0.24810127,0.12405063,0.3721519,0.50379747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10850000,NA,NA,NA,NA,NA,NA,NA,NA
